date,JP225,NASDAQ,GOLD,SILVER,NATURAL_GAS,DE40,GOLD_SPOT,GOLD_SPOT_source,GOLD_SPOT_interval,NASDAQ_MINI,NASDAQ_MINI_source,NASDAQ_MINI_interval
2025-11-20 15:00:00,50540.0,,,,,,,yf,1h,,yf,1h
2025-11-21 05:00:00,,24141.0,4056.199951171875,49.185001373291016,4.677000045776367,,4056.199951171875,yf,1h,24141.0,yf,1h
2025-11-21 06:00:00,,24174.25,4030.300048828125,48.9900016784668,4.748000144958496,,4030.300048828125,yf,1h,24174.25,yf,1h
2025-11-21 07:00:00,,24078.25,4029.0,48.66999816894531,4.747000217437744,,4029.0,yf,1h,24078.25,yf,1h
2025-11-21 08:00:00,,24207.0,4037.89990234375,48.869998931884766,4.556000232696533,23186.26953125,4037.89990234375,yf,1h,24207.0,yf,1h
2025-11-21 09:00:00,,24035.25,4047.699951171875,48.70500183105469,4.723999977111816,23054.150390625,4047.699951171875,yf,1h,24035.25,yf,1h
2025-11-21 10:00:00,,24092.25,4034.10009765625,48.40999984741211,4.708000183105469,23078.7890625,4034.10009765625,yf,1h,24092.25,yf,1h
2025-11-21 11:00:00,,24055.5,4034.10009765625,48.39500045776367,4.531000137329102,23099.0703125,4034.10009765625,yf,1h,24055.5,yf,1h
2025-11-21 12:00:00,,24190.75,4064.199951171875,49.130001068115234,4.683000087738037,23184.849609375,4064.199951171875,yf,1h,24190.75,yf,1h
2025-11-21 13:00:00,,24244.5,4078.199951171875,49.560001373291016,4.5269999504089355,23245.919921875,4078.199951171875,yf,1h,24244.5,yf,1h
2025-11-21 14:00:00,,24174.25,4070.300048828125,49.29499816894531,4.698999881744385,23168.970703125,4070.300048828125,yf,1h,24174.25,yf,1h
2025-11-21 15:00:00,,24022.25,4068.699951171875,49.314998626708984,4.756999969482422,23097.55078125,4068.699951171875,yf,1h,24022.25,yf,1h
2025-11-21 16:00:00,,24372.25,4099.7001953125,50.34000015258789,4.703999996185303,23096.8203125,4099.7001953125,yf,1h,24372.25,yf,1h
2025-11-21 17:00:00,,24350.25,4085.0,50.005001068115234,4.7779998779296875,,4085.0,yf,1h,24350.25,yf,1h
2025-11-21 18:00:00,,24477.25,4081.89990234375,50.060001373291016,4.622000217437744,,4081.89990234375,yf,1h,24477.25,yf,1h
2025-11-21 19:00:00,,24458.75,4087.199951171875,50.01499938964844,4.5929999351501465,,4087.199951171875,yf,1h,24458.75,yf,1h
2025-11-21 20:00:00,,24317.75,4064.5,49.68000030517578,4.739999771118164,,4064.5,yf,1h,24317.75,yf,1h
2025-11-21 21:00:00,,24305.5,4079.5,49.91299819946289,4.577000141143799,,4079.5,yf,1h,24305.5,yf,1h
