timestamp,symbol,decision,side,entry_price,tp,sl,exit_reason,exit_price,profit,take_profit,stop_loss,qty,rating,rating_adjustment,news_score,tech_score,news_refs,incoming_ts,incoming_payload,news_count,sentiment_score,recommendation,gpt_judgment,cum
2025-11-07T06:06:00.581147,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.99
2025-11-07T06:06:00.581449,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.9801
2025-11-07T06:06:00.581575,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.9702989999999999
2025-11-07T06:06:00.581682,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.96059601
2025-11-07T06:06:00.581776,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.9509900498999999
2025-11-07T06:06:00.581867,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.9414801494009999
2025-11-07T06:06:00.581944,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.9320653479069899
2025-11-07T06:06:00.582030,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.92274469442792
2025-11-07T06:06:00.582157,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.9135172474836407
2025-11-07T06:06:00.582234,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.9043820750088043
2025-11-07T06:06:00.582307,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.8953382542587163
2025-11-07T06:06:00.582381,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.8863848717161291
2025-11-07T06:06:00.582455,JP225,STRONG_GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.8775210229989678
2025-11-07T06:06:00.582533,JP225,GO,BUY,51200.0,52378.0,50688.0,SL,50688.0,-0.01,,,,,,,,,,,,,,,0.8687458127689781
2025-11-07T06:06:00.582611,XAUUSD,GO,BUY,2375.5,2411.13,2356.5,TP,2411.13,0.014998947589981102,,,,,,,,,,,,,,,0.8817760856837155
2025-11-07T06:06:00.582689,XAGUSD,GO,BUY,28.42,29.13,28.08,TP,29.13,0.024982406755805674,,,,,,,,,,,,,,,0.9038049745238083
2025-11-07T06:06:00.582809,NGAS,GO,BUY,3.02,3.111,2.975,TP,3.111,0.030132450331125892,,,,,,,,,,,,,,,0.9310388330276715
2025-11-07T06:06:00.582888,GER40,GO,BUY,18450.0,,,timeout,,0.0,18782.0,18284.0,1.0,5.0,0.0,0.0,5.0,[],2025-11-07T06:06:00.582883,{'symbol': 'GER40'},0.0,0.0,BUY,Decision=GO; rating=5.00; recommendation=BUY; news_count=0; sentiment=0.000,0.9310388330276715
