timestamp,symbol,decision,rating,entry_price,incoming_price,incoming_ts,screener_price,screener_symbol,screener_ts,time_diff_s
2025-11-06T13:31:18.040867,NQ100,GO,4.35,17900.0,,,25619.515625,^NDX,,
2025-11-06T13:31:19.113867,GER40,GO,4.35,18450.0,,,24018.140625,^GDAXI,,
2025-11-06T13:31:21.657818,XAUUSD,GO,4.35,2375.5,,,4022.800048828125,GC=F,,
2025-11-06T13:31:24.996645,XAGUSD,GO,4.35,28.42,,,48.41999816894531,SI=F,,
2025-11-06T13:31:28.422221,NGAS,GO,4.35,3.02,,,4.297999858856201,NG=F,,
2025-11-06T13:31:31.639903,GER40,GO,4.35,18450.0,,,24012.0703125,^GDAXI,,
2025-11-06T13:47:24.254441,JP225,GO,4.35,51200.0,,,50857.76171875,^N225,,
2025-11-06T13:47:24.255396,JP225,GO,4.35,51200.0,,,50857.76171875,^N225,,
2025-11-06T13:49:19.149236,JP225,GO,4.35,51200.0,,,50857.76171875,^N225,,
2025-11-06T13:49:19.381970,JP225,GO,4.35,51200.0,,,50857.76171875,^N225,,
2025-11-06T14:15:22.676563+00:00,JP225,WAIT,0.75,51200.0,,,,,,
