timestamp,run_id,instrument,decision,entry_price,lots
2025-11-11T07:17:37.571477,2025-11-11-0717,JP225,STRONG_GO,50176.4,6
2025-11-11T07:17:37.571477,2025-11-11-0717,NAS100,STRONG_GO,25828.3,6
2025-11-11T07:17:37.571477,2025-11-11-0717,XAUUSD,WAIT,2375.5,0
2025-11-11T07:17:37.571477,2025-11-11-0717,US30,STRONG_GO,47147.0,6
2025-11-11T07:17:37.571477,2025-11-11-0717,COPPER,STRONG_GO,4.6869,6
2025-11-11T07:54:03.123822,2025-11-11-0754,JP225,STRONG_GO,50176.4,6
2025-11-11T07:54:03.123822,2025-11-11-0754,NAS100,STRONG_GO,25828.3,6
2025-11-11T07:54:03.123822,2025-11-11-0754,XAUUSD,WAIT,2375.5,0
2025-11-11T07:54:03.123822,2025-11-11-0754,US30,STRONG_GO,47147.0,6
2025-11-11T07:54:03.123822,2025-11-11-0754,COPPER,STRONG_GO,4.6869,6
2025-11-11T07:59:08.407086,2025-11-11-0759,JP225,STRONG_GO,50176.4,6
2025-11-11T07:59:08.407086,2025-11-11-0759,NAS100,STRONG_GO,25828.3,6
2025-11-11T07:59:08.407086,2025-11-11-0759,XAUUSD,WAIT,2375.5,0
2025-11-11T07:59:08.407086,2025-11-11-0759,US30,STRONG_GO,47147.0,6
2025-11-11T07:59:08.407086,2025-11-11-0759,COPPER,STRONG_GO,4.6869,6
2025-11-11T08:15:01.209764,2025-11-11-0815,JP225,WAIT,47147.0,0
2025-11-11T08:15:01.209764,2025-11-11-0815,NAS100,STRONG_GO,25828.3,6
2025-11-11T08:15:01.209764,2025-11-11-0815,XAUUSD,STRONG_GO,2375.5,6
2025-11-11T08:15:01.209764,2025-11-11-0815,US30,STRONG_GO,47147.0,6
2025-11-11T08:15:01.209764,2025-11-11-0815,COPPER,STRONG_GO,4.6869,6
