symbol,interval,period_days,threshold,signals,win_rate,avg_ret,med_ret
JP225,15m,3,0.65,556,0.591726618705036,0.0004325989406231487,0.0004156775767981968
JP225,15m,3,0.7,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,3,0.75,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,3,0.8,512,0.58984375,0.0005104506030341599,0.00040200532863600967
JP225,15m,5,0.65,556,0.591726618705036,0.0004325989406231487,0.0004156775767981968
JP225,15m,5,0.7,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,5,0.75,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,5,0.8,512,0.58984375,0.0005104506030341599,0.00040200532863600967
JP225,15m,7,0.65,556,0.591726618705036,0.0004325989406231487,0.0004156775767981968
JP225,15m,7,0.7,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,7,0.75,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,7,0.8,512,0.58984375,0.0005104506030341599,0.00040200532863600967
JP225,15m,14,0.65,556,0.591726618705036,0.0004325989406231487,0.0004156775767981968
JP225,15m,14,0.7,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,14,0.75,515,0.5883495145631068,0.0004913713028149549,0.00039007629582243794
JP225,15m,14,0.8,512,0.58984375,0.0005104506030341599,0.00040200532863600967
JP225,5m,3,0.65,1542,0.5590142671854734,0.0004931757491864893,0.00018088785283863003
JP225,5m,3,0.7,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,3,0.75,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,3,0.8,1434,0.5578800557880056,0.0004067064782623921,0.00018088785283863003
JP225,5m,5,0.65,1542,0.5590142671854734,0.0004931757491864893,0.00018088785283863003
JP225,5m,5,0.7,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,5,0.75,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,5,0.8,1434,0.5578800557880056,0.0004067064782623921,0.00018088785283863003
JP225,5m,7,0.65,1542,0.5590142671854734,0.0004931757491864893,0.00018088785283863003
JP225,5m,7,0.7,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,7,0.75,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,7,0.8,1434,0.5578800557880056,0.0004067064782623921,0.00018088785283863003
JP225,5m,14,0.65,1542,0.5590142671854734,0.0004931757491864893,0.00018088785283863003
JP225,5m,14,0.7,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,14,0.75,1436,0.5584958217270195,0.0004091874401792054,0.00018088785283863003
JP225,5m,14,0.8,1434,0.5578800557880056,0.0004067064782623921,0.00018088785283863003
