timestamp,run_id,instrument,decision,entry_price,lots
2025-11-17T14:32:52.407907,2025-11-17-1432,US30,STRONG_GO,47147.0,6
2025-11-17T14:34:02.780399,2025-11-17-1434,US30,STRONG_GO,47147.0,6
2025-11-17T15:05:12.757223,2025-11-17-1505,US30,STRONG_GO,47147.0,6
2025-11-17T16:03:12.769625,2025-11-17-1603,XAUUSD,WAIT,401275.0,0
2025-11-17T16:03:12.769625,2025-11-17-1603,US30,STRONG_GO,47147.0,6
2025-11-17T16:39:46.274216,2025-11-17-1639,JP225,WAIT,50354.3,0
2025-11-17T16:39:46.274216,2025-11-17-1639,NAS100,WAIT,25011.5,0
2025-11-17T16:39:46.274216,2025-11-17-1639,XAUUSD,WAIT,407780.0,0
2025-11-17T16:39:46.274216,2025-11-17-1639,GER40,WAIT,23876.6,0
2025-11-17T17:03:39.116276,2025-11-17-1703,JP225,WAIT,50354.3,0
2025-11-17T17:03:39.116276,2025-11-17-1703,NAS100,WAIT,25011.5,0
2025-11-17T17:03:39.116276,2025-11-17-1703,XAUUSD,WAIT,407780.0,0
2025-11-17T17:03:39.116276,2025-11-17-1703,GER40,WAIT,23876.6,0
2025-11-17T17:06:46.868245,2025-11-17-1706,JP225,WAIT,50354.3,0
2025-11-17T17:06:46.868245,2025-11-17-1706,NAS100,WAIT,25011.5,0
2025-11-17T17:06:46.868245,2025-11-17-1706,XAUUSD,WAIT,407780.0,0
2025-11-17T17:06:46.868245,2025-11-17-1706,GER40,STRONG_GO,23876.6,6
2025-11-17T17:07:01.522237,2025-11-17-1707,GER40,STRONG_GO,23876.6,6
2025-11-17T17:10:23.081999,2025-11-17-1710,GER40,STRONG_GO,23876.6,6
2025-11-17T17:11:01.541242,2025-11-17-1711,GER40,STRONG_GO,23876.6,6
2025-11-17T18:44:55.525272,2025-11-17-1844,GER40,STRONG_GO,23876.6,6
2025-11-17T18:45:02.005459,2025-11-17-1845,GER40,STRONG_GO,23876.6,6
2025-11-17T19:41:56.921462,2025-11-17-1941,GER40,STRONG_GO,23876.6,6
2025-11-17T22:13:18.156319,2025-11-17-2213,GER40,STRONG_GO,23876.6,6
2025-11-17T22:23:22.556506,2025-11-17-2223,GER40,STRONG_GO,23762.0,6
